log_frequency_per_million,word,transcription,part_of_speech
4.37,a,1,N
0.48,AA,11,N
0.48,aback,@b{k,ADV
0.3,abandon,@b{nd@n,N
1.73,abandon,@b{nd@n,V
0.7,abandonment,@b{nd@nm@nt,N
0.3,abate,@b1t,V
0.3,abattoir,{b@tw#R,N
0.48,abbess,{bEs,N
1,abbey,{bI,N
0.3,abbot,{b@t,N
0.3,abbreviate,@brivI1t,V
0.3,ABC,1bisi,N
0.3,abdicate,{bdIk1t,V
0.3,abdication,{bdIk1SH,N
0.78,abdomen,{bd@mEn,N
0.85,abdominal,{bdQmInP,A
0.48,aberration,{b@r1SH,N
0.3,abet,@bEt,V
0.3,abhor,@bh$R,V
0.7,abide,@b2d,V
0.3,abiding,@b2dIN,A
1.94,ability,@bIl@tI,N
0.48,abject,{b_Ekt,A
2.52,able,1bP,A
0.6,ably,1blI,ADV
0.78,abnormal,{bn$mP,A
0.3,abnormality,{bn$m{l@tI,N
0.3,abnormally,{bn$m@lI,ADV
0.85,aboard,@b$d,ADV
0.95,aboard,@b$d,FUNC
0.3,abode,@b5d,N
1.23,abolish,@bQlIS,V
0.9,abolition,{b5lISH,N
0.3,abominable,@bQmIn@bP,A
0.78,aboriginal,{b@rI_@nP,A
0.6,Aborigine,{b@rI_InI,N
0.3,abort,@b$t,V
1.3,abortion,@b$SH,N
0.48,abortive,@b$tIv,A
0.7,abound,@b6nd,V
2.54,about,@b6t,ADV
3.33,about,@b6t,FUNC
1.6,above,@bVv,ADV
2.23,above,@bVv,FUNC
0.95,above,@bVv,A
0.6,above,@bVv,N
0.3,abrasive,@br1sIv,A
0.3,abreast,@brEst,ADV
1.63,abroad,@br$d,ADV
0.85,abrupt,@brVpt,A
1.26,abruptly,@brVptlI,ADV
1.61,absence,{bs@ns,N
1.11,absent,{bs@nt,A
0.3,absentee,{bs@nti,N
0.3,absently,{bs@ntlI,ADV
1.62,absolute,{bs@lut,A
1.92,absolutely,{bs@lutlI,ADV
0.3,absolve,@bzQlv,V
1.58,absorb,@bs$b,V
0.6,absorption,@bs$pSH,N
0.6,abstain,@bst1n,V
0.3,abstinence,{bstIn@ns,N
0.48,abstract,{bstr{kt,N
1.34,abstract,{bstr{kt,A
0.85,abstraction,{bstr{kSH,N
1.4,absurd,@bs3d,A
0.85,absurdity,@bs3d@tI,N
0.48,absurdly,@bs3dlI,ADV
0.85,abundance,@bVnd@ns,N
0.95,abundant,@bVnd@nt,A
0.6,abundantly,@bVnd@ntlI,ADV
1.23,abuse,@bjus,N
0.85,abuse,@bjuz,V
0.3,abusive,@bjusIv,A
0.6,abyss,@bIs,N
0.3,acacia,@k1S@,N
1.04,academic,{k@dEmIk,N
1.66,academic,{k@dEmIk,A
0.3,academically,{k@dEmIk@lI,ADV
1.04,academy,@k{d@mI,N
0.3,accede,{ksid,V
1.18,accelerate,@ksEl@r1t,V
0.9,acceleration,@ksEl@r1SH,N
0.3,accelerator,@ksEl@r1t@R,N
1.48,accent,{ksEnt,N
0.3,accent,{ksEnt,V
0.6,accentuate,{ksEntjU1t,V
2.32,accept,@ksEpt,V
1.46,acceptable,@ksEpt@bP,A
1.36,acceptance,@ksEpt@ns,N
1.62,access,{ksEs,N
0.3,accessibility,@ksEs@bIl@tI,N
0.95,accessible,@ksEs@bP,A
0.48,accessory,@ksEs@rI,N
1.85,accident,{ksId@nt,N
0.95,accidental,{ksIdEntP,A
0.85,accidentally,{ksIdEnt@lI,ADV
0.3,acclaim,@kl1m,N
