Subject,Word,RT,BaseFrequency,Word.magyar
pp1,basaalheid,6.69,3.56,alapvető
pp1,markantheid,6.81,5.16,meglepő
pp1,ontroerdheid,6.51,5.55,költözött
pp1,contentheid,6.58,4.5,tartalom
pp1,riantheid,6.86,4.53,nagylelkű
pp1,tembaarheid,6.35,0,szelíd
pp1,onattentheid,6.69,1.61,tapintatlan
pp1,bebrildheid,7.17,3.61,szemüveges
pp1,geurloosheid,6.58,2.56,szagtalan
pp1,ovaalheid,6.98,5.86,ovális
pp1,erkendheid,6.38,6.52,elismert
pp1,coulantheid,6.67,1.79,elnéző
pp1,labielheid,6.71,4.38,változékony
pp1,visrijkheid,6.54,3.04,halban gazdag
pp1,ondiepheid,6.32,5.66,sekély
pp1,onwelheid,7,3.97,indiszponált
pp1,blusbaarheid,6.74,0,tűzoltó
pp1,tilbaarheid,6.55,0,emelhető
pp1,gammelheid,6.55,4.91,rozoga
pp1,koketheid,6.85,4.79,kacér
pp1,ludiekheid,6.8,4.14,játékos
pp1,banaalheid,6.95,5.74,banális
pp1,bezweetheid,6.45,4.75,izzadt
pp1,beschutheid,6.57,4.79,védett
pp1,antiekheid,6.98,6.75,antik
pp1,pitloosheid,6.69,0,magtalan
pp1,kalkrijkheid,7.07,3.14,meszes
pp1,onbelastheid,6.58,3.18,terheletlen
pp1,beuheid,7.11,5.07,beteg
pp1,dementheid,6.48,3.83,megbolondít
pp1,royaalheid,6.69,6.09,nagylelkű
pp10,enormheid,6.17,8.42,hatalmas
pp10,markantheid,6.14,5.16,meglepő
pp10,ontroerdheid,6.08,5.55,költözött
pp10,contentheid,6.61,4.5,tartalom
pp10,riantheid,6.2,4.53,nagylelkű
pp10,tembaarheid,6.44,0,szelíd
pp10,onattentheid,6.69,1.61,tapintatlan
pp10,bebrildheid,6.46,3.61,szemüveges
pp10,aftandsheid,6.98,4.2,rongyos
pp10,geurloosheid,6.3,2.56,szagtalan
pp10,ovaalheid,6.42,5.86,ovális
pp10,erkendheid,6.19,6.52,elismert
pp10,coulantheid,6.5,1.79,elnéző
pp10,tilbaarheid,6.97,0,emelhető
pp10,gammelheid,6.98,4.91,rozoga
pp10,pipsheid,6.87,3.33,pip
pp10,banaalheid,6.3,5.74,banális
pp10,bezweetheid,6.19,4.75,izzadt
pp10,beschutheid,6.5,4.79,védett
pp10,pitloosheid,6.2,0,magtalan
pp10,kortafheid,6.33,5.87,kurtán
pp10,dementheid,6.68,3.83,megbolondít
pp10,royaalheid,6.51,6.09,nagylelkű
pp11,riantheid,6.41,4.53,nagylelkű
pp11,ovaalheid,6.43,5.86,ovális
pp11,aftandsheid,7.21,4.2,rongyos
pp11,tactvolheid,6.59,4.75,tapintatos
pp11,tembaarheid,6.39,0,szelíd
pp11,summierheid,6.88,5.3,rövid
pp11,tilbaarheid,6.89,0,emelhető
pp11,pitloosheid,6.41,0,magtalan
pp11,labielheid,6.43,4.38,változékony
pp11,contentheid,6.22,4.5,tartalom
pp11,saprijkheid,6.92,0,lédús
pp11,dementheid,6.34,3.83,megbolondít
pp11,enormheid,6.59,8.42,hatalmas
pp11,royaalheid,6.26,6.09,nagylelkű
pp11,jofelheid,6.32,3.33,vidám
pp11,blusbaarheid,7.11,0,tűzoltó
pp11,basaalheid,6.57,3.56,alapvető
pp11,kalkrijkheid,6.63,3.14,meszes
pp11,kortafheid,6.33,5.87,kurtán
pp11,ontroerdheid,6.47,5.55,költözött
pp11,banaalheid,6.61,5.74,banális
pp11,erkendheid,6.51,6.52,elismert
pp11,coulantheid,6.53,1.79,elnéző
pp11,geurloosheid,6.25,2.56,szagtalan
pp11,ondiepheid,6.11,5.66,sekély
pp11,onwelheid,6.67,3.97,indiszponált
pp11,gammelheid,6.72,4.91,rozoga
pp12,ondiepheid,6.54,5.66,sekély
pp12,royaalheid,6.61,6.09,nagylelkű
pp12,antiekheid,6.88,6.75,antik
pp12,beschutheid,6.94,4.79,védett
pp12,gammelheid,6.93,4.91,rozoga
pp12,onattentheid,6.71,1.61,tapintatlan
pp12,tembaarheid,6.76,0,szelíd
pp12,erkendheid,6.46,6.52,elismert
pp12,riantheid,6.78,4.53,nagylelkű
pp12,kortafheid,6.87,5.87,kurtán
pp12,labielheid,6.92,4.38,változékony
pp12,ontroerdheid,6.67,5.55,költözött
pp13,enormheid,6.82,8.42,hatalmas
pp13,markantheid,6.99,5.16,meglepő
pp13,ontroerdheid,6.42,5.55,költözött
pp13,lobbigheid,6.85,0,darabos
pp13,contentheid,6.7,4.5,tartalom
pp13,riantheid,6.79,4.53,nagylelkű
pp13,tembaarheid,7,0,szelíd
pp13,onattentheid,6.68,1.61,tapintatlan
pp13,bebrildheid,6.86,3.61,szemüveges
pp13,geurloosheid,6.75,2.56,szagtalan
pp13,erkendheid,7.2,6.52,elismert
pp13,labielheid,6.53,4.38,változékony
pp13,visrijkheid,6.83,3.04,halban gazdag
pp13,ondiepheid,7.33,5.66,sekély
pp13,onwelheid,6.86,3.97,indiszponált
pp13,blusbaarheid,7.08,0,tűzoltó
pp13,tilbaarheid,7.04,0,emelhető
pp13,koketheid,6.85,4.79,kacér
pp13,ludiekheid,6.72,4.14,játékos
pp13,pipsheid,6.57,3.33,pip
pp13,banaalheid,6.68,5.74,banális
pp13,bezweetheid,6.9,4.75,izzadt
pp13,beschutheid,6.95,4.79,védett
pp13,tactvolheid,6.37,4.75,tapintatos
pp13,jofelheid,6.42,3.33,vidám
pp13,pitloosheid,6.42,0,magtalan
pp13,onbelastheid,6.57,3.18,terheletlen
pp13,saprijkheid,7.1,0,lédús
pp13,beuheid,6.8,5.07,beteg
pp13,dementheid,6.77,3.83,megbolondít
pp13,royaalheid,6.45,6.09,nagylelkű
pp14,riantheid,6.61,4.53,nagylelkű
pp14,beuheid,6.25,5.07,beteg
pp14,ovaalheid,6.39,5.86,ovális
pp14,aftandsheid,6.32,4.2,rongyos
pp14,beschutheid,6.22,4.79,védett
pp14,tactvolheid,6.2,4.75,tapintatos
pp14,tembaarheid,6.21,0,szelíd
pp14,summierheid,6.61,5.3,rövid
pp14,tilbaarheid,6.89,0,emelhető
pp14,pitloosheid,6.46,0,magtalan
pp14,labielheid,6.34,4.38,változékony
pp14,contentheid,6.17,4.5,tartalom
pp14,dementheid,6.25,3.83,megbolondít
pp14,enormheid,6.39,8.42,hatalmas
pp14,bebrildheid,6.71,3.61,szemüveges
pp14,royaalheid,6.45,6.09,nagylelkű
pp14,jofelheid,6.61,3.33,vidám
pp14,blusbaarheid,6.5,0,tűzoltó
pp14,basaalheid,6.07,3.56,alapvető
pp14,kalkrijkheid,6.19,3.14,meszes
pp14,kortafheid,6.21,5.87,kurtán
pp14,ontroerdheid,6.26,5.55,költözött
pp14,lobbigheid,6.45,0,darabos
pp14,banaalheid,6.42,5.74,banális
pp14,erkendheid,6.26,6.52,elismert
pp14,coulantheid,6.33,1.79,elnéző
pp14,geurloosheid,6.61,2.56,szagtalan
pp14,antiekheid,6.3,6.75,antik
pp14,ludiekheid,6.58,4.14,játékos
pp14,ondiepheid,6.17,5.66,sekély
pp14,markantheid,6.28,5.16,meglepő
pp14,pipsheid,6.29,3.33,pip
pp14,bezweetheid,6.23,4.75,izzadt
pp14,onbelastheid,6.48,3.18,terheletlen
pp14,koketheid,6.23,4.79,kacér
pp14,onattentheid,6.37,1.61,tapintatlan
pp14,onwelheid,6.23,3.97,indiszponált
pp14,visrijkheid,6.26,3.04,halban gazdag
pp14,gammelheid,6.21,4.91,rozoga
pp15,koketheid,6.46,4.79,kacér
pp15,bezweetheid,6.69,4.75,izzadt
pp15,ondiepheid,6.43,5.66,sekély
pp15,royaalheid,6.4,6.09,nagylelkű
pp15,antiekheid,6.76,6.75,antik
pp15,beschutheid,6.75,4.79,védett
pp15,gammelheid,6.78,4.91,rozoga
pp15,tactvolheid,6.45,4.75,tapintatos
pp15,onattentheid,6.48,1.61,tapintatlan
pp15,tembaarheid,6.69,0,szelíd
pp15,contentheid,6.54,4.5,tartalom
pp15,erkendheid,6.34,6.52,elismert
pp15,riantheid,7.31,4.53,nagylelkű
pp15,beuheid,6.6,5.07,beteg
pp15,dementheid,6.52,3.83,megbolondít
pp15,banaalheid,6.9,5.74,banális
pp15,blusbaarheid,6.49,0,tűzoltó
pp15,basaalheid,6.69,3.56,alapvető
pp15,ludiekheid,6.78,4.14,játékos
pp15,ovaalheid,6.6,5.86,ovális
pp15,visrijkheid,6.52,3.04,halban gazdag
pp15,pitloosheid,6.5,0,magtalan
pp15,jofelheid,6.53,3.33,vidám
pp15,kalkrijkheid,6.54,3.14,meszes
pp15,coulantheid,6.78,1.79,elnéző
pp15,ontroerdheid,6.47,5.55,költözött
pp15,markantheid,7.15,5.16,meglepő
pp15,summierheid,6.71,5.3,rövid
pp15,enormheid,6.45,8.42,hatalmas
pp15,onwelheid,6.41,3.97,indiszponált
pp15,tilbaarheid,6.4,0,emelhető
pp15,geurloosheid,6.42,2.56,szagtalan
pp15,pipsheid,6.78,3.33,pip
pp15,aftandsheid,6.4,4.2,rongyos
pp16,enormheid,6.31,8.42,hatalmas
pp16,basaalheid,6.61,3.56,alapvető
pp16,markantheid,6.3,5.16,meglepő
pp16,ontroerdheid,6.52,5.55,költözött
pp16,lobbigheid,6.44,0,darabos
pp16,contentheid,6.45,4.5,tartalom
pp16,riantheid,6.33,4.53,nagylelkű
pp16,tembaarheid,6.42,0,szelíd
pp16,onattentheid,6.23,1.61,tapintatlan
pp16,bebrildheid,6.26,3.61,szemüveges
pp16,aftandsheid,6.73,4.2,rongyos
pp16,geurloosheid,6.5,2.56,szagtalan
pp16,ovaalheid,6.26,5.86,ovális
pp16,erkendheid,6.32,6.52,elismert
pp16,coulantheid,6.34,1.79,elnéző
pp16,labielheid,6.37,4.38,változékony
pp16,visrijkheid,6.42,3.04,halban gazdag
pp16,ondiepheid,6.47,5.66,sekély
pp16,onwelheid,6.42,3.97,indiszponált
pp16,blusbaarheid,6.67,0,tűzoltó
pp16,tilbaarheid,6.52,0,emelhető
pp16,gammelheid,6.35,4.91,rozoga
pp16,koketheid,6.47,4.79,kacér
pp16,ludiekheid,6.33,4.14,játékos
pp16,pipsheid,6.27,3.33,pip
pp16,banaalheid,6.5,5.74,banális
pp16,bezweetheid,6.57,4.75,izzadt
pp16,beschutheid,6.3,4.79,védett
pp16,antiekheid,6.19,6.75,antik
pp16,tactvolheid,6.51,4.75,tapintatos
pp16,jofelheid,6.23,3.33,vidám
pp16,pitloosheid,6.55,0,magtalan
pp16,summierheid,6.5,5.3,rövid
pp16,kalkrijkheid,6.39,3.14,meszes
pp16,onbelastheid,6.23,3.18,terheletlen
pp16,kortafheid,6.36,5.87,kurtán
pp16,saprijkheid,6.23,0,lédús
pp16,beuheid,6.34,5.07,beteg
pp16,dementheid,6.19,3.83,megbolondít
pp16,royaalheid,6.26,6.09,nagylelkű
pp17,riantheid,6.79,4.53,nagylelkű
pp17,beuheid,6.92,5.07,beteg
pp17,ovaalheid,6.39,5.86,ovális
pp17,beschutheid,6.63,4.79,védett
pp17,tactvolheid,7.07,4.75,tapintatos
pp17,tembaarheid,7.1,0,szelíd
pp17,summierheid,7.06,5.3,rövid
pp17,tilbaarheid,6.98,0,emelhető
pp17,labielheid,7.12,4.38,változékony
pp17,contentheid,6.75,4.5,tartalom
pp17,dementheid,6.74,3.83,megbolondít
pp17,enormheid,7.21,8.42,hatalmas
pp17,royaalheid,7.13,6.09,nagylelkű
pp17,jofelheid,7.04,3.33,vidám
pp17,basaalheid,7.26,3.56,alapvető
pp17,kalkrijkheid,7.24,3.14,meszes
pp17,kortafheid,6.71,5.87,kurtán
pp17,ontroerdheid,6.83,5.55,költözött
pp17,banaalheid,6.88,5.74,banális
pp17,erkendheid,6.65,6.52,elismert
pp17,coulantheid,6.96,1.79,elnéző
pp17,geurloosheid,6.62,2.56,szagtalan
pp17,ondiepheid,7.34,5.66,sekély
pp17,markantheid,6.72,5.16,meglepő
pp17,bezweetheid,7.31,4.75,izzadt
pp17,koketheid,7.04,4.79,kacér
pp17,onattentheid,6.92,1.61,tapintatlan
pp17,onwelheid,7.14,3.97,indiszponált
pp18,koketheid,7.04,4.79,kacér
pp18,bezweetheid,6.51,4.75,izzadt
pp18,ondiepheid,6.65,5.66,sekély
pp18,saprijkheid,6.94,0,lédús
pp18,royaalheid,6.99,6.09,nagylelkű
pp18,antiekheid,6.32,6.75,antik
pp18,beschutheid,6.94,4.79,védett
pp18,gammelheid,6.45,4.91,rozoga
pp18,tactvolheid,6.64,4.75,tapintatos
pp18,onattentheid,6.65,1.61,tapintatlan
pp18,tembaarheid,6.52,0,szelíd
pp18,contentheid,6.54,4.5,tartalom
pp18,erkendheid,6.5,6.52,elismert
pp18,riantheid,6.87,4.53,nagylelkű
pp18,beuheid,6.76,5.07,beteg
pp18,banaalheid,6.84,5.74,banális
pp18,kortafheid,6.74,5.87,kurtán
pp18,blusbaarheid,6.6,0,tűzoltó
pp18,basaalheid,6.6,3.56,alapvető
pp18,ovaalheid,6.41,5.86,ovális
pp18,visrijkheid,6.32,3.04,halban gazdag
pp18,labielheid,6.6,4.38,változékony
pp18,onbelastheid,6.8,3.18,terheletlen
pp18,pitloosheid,6.67,0,magtalan
pp18,jofelheid,6.69,3.33,vidám
pp18,kalkrijkheid,6.69,3.14,meszes
pp18,coulantheid,6.66,1.79,elnéző
pp18,ontroerdheid,6.49,5.55,költözött
pp18,bebrildheid,6.71,3.61,szemüveges
pp18,markantheid,6.45,5.16,meglepő
pp18,summierheid,6.51,5.3,rövid
pp18,enormheid,6.37,8.42,hatalmas
pp18,onwelheid,6.65,3.97,indiszponált
pp18,tilbaarheid,6.46,0,emelhető
pp18,geurloosheid,6.48,2.56,szagtalan
pp18,pipsheid,6.46,3.33,pip
pp18,aftandsheid,6.7,4.2,rongyos
pp19,enormheid,6.86,8.42,hatalmas
pp19,basaalheid,6.7,3.56,alapvető
pp19,markantheid,6.63,5.16,meglepő
pp19,ontroerdheid,6.6,5.55,költözött
pp19,lobbigheid,6.63,0,darabos
pp19,contentheid,6.51,4.5,tartalom
pp19,riantheid,6.57,4.53,nagylelkű
