word,freq,log.freq,lemmafreq,log.lemmafreq,pos,syllable.count
és,12674699,16.355118359625028,12674699,16.355118359625028,CONJ,1
hogy,7772593,15.866114386105606,7778747,15.866905829199412,CONJ,1
nem,6787481,15.730590443957059,6862989,15.741653619091878,ADV,1
is,6290129,15.65449213721036,6290129,15.65449213721036,ADV,1
ha,2466115,14.71815459584455,2466187,14.718183791137136,CONJ,1
vagy,2282845,14.640933030084007,2282845,14.640933030084007,CONJ,1
de,2229880,14.61745833032921,2229906,14.617469990081494,CONJ,1
ez,2104567,14.559620303226737,5696473,15.555357769356595,NOUN,1
csak,2099555,14.557235975476761,2099555,14.557235975476761,ADV,1
már,1725577,14.36107204527099,1725577,14.36107204527099,ADV,1
még,1504588,14.22402966453478,1504588,14.22402966453478,ADV,1
mint,1328773,14.099766517989899,1371784,14.131622640471539,CONJ,1
az,1309938,14.085490365813042,5881116,15.58725709778421,NOUN,1
minden,1191571,13.990783162499266,1400393,14.152263469478319,NOUN,2
akkor,1151753,13.9567956875267,1152189,13.957174169281194,ADV,2
sem,1087545,13.899433420399221,1087545,13.899433420399221,ADV,1
s,1068514,13.881779456135614,1068514,13.881779456135614,CONJ,0
mert,1033220,13.848190697352901,1033220,13.848190697352901,CONJ,1
magyar,980491,13.7958087455861,1087803,13.899670623827095,ADJ,2
olyan,890239,13.699245244983935,1060194,13.873962468210264,ADJ,2
úgy,851825,13.655136385653144,851825,13.655136385653144,ADV,1
pedig,782771,13.570595467318075,782771,13.570595467318075,CONJ,2
nagy,767702,13.551156915996913,1267404,14.052481271934113,ADJ,1
két,746984,13.523799044876194,1097978,13.90898086442101,NUM,1
új,724350,13.493029979969798,934334,13.747589254999788,ADJ,1
itt,675502,13.423211397147808,675504,13.423214357904458,ADV,1
aki,673432,13.42014230462759,1464442,14.196984840505271,NOUN,2
majd,666192,13.40933319626373,666192,13.40933319626373,ADV,1
illetve,646103,13.378714212779556,646103,13.378714212779556,CONJ,3
nagyon,637269,13.364947137407851,637269,13.364947137407851,ADV,2
amely,617921,13.334115896553447,1617001,14.296083756988242,NOUN,2
most,609441,13.320297422561701,609441,13.320297422561701,ADV,1
első,603606,13.310676946184278,4821074,15.388507282782506,NUM,2
ami,596462,13.298770813545346,1352315,14.117328496613199,NOUN,2
jó,588479,13.285296521103556,834568,13.634669504683941,ADJ,1
hanem,576040,13.263932381711319,576050,13.263949741466199,CONJ,2
más,572190,13.257226383038581,825140,13.623308347889614,NOUN,1
amikor,554859,13.22646930639732,555094,13.226892747756569,ADV,3
azonban,536840,13.193455377511743,536840,13.193455377511743,CONJ,3
való,530696,13.181944631572582,552199,13.221663767538486,ADJ,2
ilyen,493966,13.110221967890517,534090,13.188319643067018,NOUN,2
valamint,485926,13.093811627914901,485926,13.093811627914901,CONJ,3
így,483388,13.088574922781211,891533,13.70069773186497,ADV,1
e,482401,13.086530997361455,484094,13.090034381717535,NOUN,1
egyik,476940,13.075145975795213,545911,13.210211237777498,NOUN,2
ne,472855,13.06654406656561,473047,13.066950028288149,ADV,1
saját,450489,13.018088938418327,462274,13.04391306785831,NOUN,2
ezért,445235,13.006357511645625,445235,13.006357511645625,CONJ,2
sok,432965,12.978412172308817,1943826,14.480168753823765,NUM,1
ember,426658,12.963738034521388,968324,13.783322020999371,NOUN,2
így,408145,12.919377782406327,891533,13.70069773186497,CONJ,1
1,404440,12.910258673205336,438895,12.992015483494779,NUM,0
tehát,400543,12.900576405520015,400543,12.900576405520015,CONJ,2
ahol,399003,12.896724214640727,399003,12.896724214640727,ADV,2
mindig,396364,12.890088259957619,396364,12.890088259957619,ADV,2
ott,372102,12.82692328921949,372280,12.827401538299647,ADV,1
ma,360551,12.795388695881483,380213,12.848486900982161,ADV,1
mi,357172,12.785972737454017,1719152,14.357341703957895,NOUN,1
jól,355618,12.78161240001347,355619,12.781615212015659,ADV,1
2,354429,12.778263322807737,359825,12.793373081130872,NUM,0
hiszen,343601,12.747236379448887,343601,12.747236379448887,CONJ,2
például,337915,12.730549663548995,337992,12.730777505545996,ADV,3
néhány,334985,12.72184103368532,356538,12.784196105021335,NOUN,2
milyen,331514,12.711425319993824,343490,12.746913278139262,NOUN,2
megfelelő,325345,12.69264143673988,500493,13.123348891625621,ADJ,4
szükséges,323129,12.685806903278461,378039,12.842752643882767,ADJ,3
kis,321680,12.681312541571156,487189,13.09640741712622,ADJ,1
év,312410,12.65207170667863,1237371,14.02849952556712,NOUN,1
