trial_number,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8,subject9,subject10,subject11,subject12
1,4.070440607946112,5.597559946913986,4.048594624158527,4.73273640602981,6.856568526181114,6.181480026539237,5.960053981224176,6.5875524977564055,7.475985723525182,7.261469004484729,8.327452249593925,8.392784521360522
2,3.0341108344757712,3.8386729763752356,4.088037441093504,2.9434790387696195,2.9061268935460833,3.9362139758037813,6.496588563731894,4.720174524681282,4.650516537169512,6.767685420686082,8.42579070271919,4.900973851427276
3,4.114388745818916,5.0280563322380045,4.641795070331208,4.841224569156037,6.084910513074053,3.7828558411430233,6.659135471220108,6.778417688639322,6.201300604238306,6.338444485737634,5.2675869324553535,7.78210128333157
4,4.841559706379156,5.063772075220495,5.236647068049414,4.969576658277442,4.736689897984568,5.26665601575836,6.5549655854845135,8.17363566955657,8.192911663582095,7.116374020040534,5.760852950427364,8.507062896381083
5,6.035478594647281,4.571956691696868,3.7673257299715157,5.340539749920991,4.686964041047206,4.159077393202825,6.7419853282171545,7.80190795018031,7.332095738222678,3.9061589060483395,7.195775418320998,8.014167789064722
6,4.775981443647586,5.633431164134841,5.713912419148761,5.183157745282285,6.369216214876985,5.149965692715014,8.493311008800246,6.66377761012047,6.776130752029272,7.211461242128152,5.968638907708816,6.221946679491754
7,5.9602815417938935,3.4943526331250796,4.502983699172146,6.076235824997208,5.7255506407639976,5.468173351160901,7.4637855773810475,7.992107897724495,6.188910631681498,7.8185283413763935,6.211722077886877,6.618808541262682
8,5.008850980062792,5.204626167546819,5.736731200066802,4.79966333529503,4.5314573488495284,4.855916412894816,7.227898099327944,6.178427809286941,6.0434570250672355,8.210437439007386,6.7281775237421115,6.3606260920208015
9,3.5727478425410686,8.19531067615962,4.18973432016432,3.2967126625319514,6.2824734124500905,4.507887765666288,7.837888162263516,7.023116673204109,8.022405491518871,6.969775818870197,5.437706953463575,6.662880598066881
10,5.65557636972755,3.900630829873129,3.961777373796605,5.822184484432781,4.80183817704731,3.768274909663609,8.915587861522457,7.035332957875356,8.946691252676253,7.6997755304430076,7.17518886734594,8.568335338849359
